"BSSID"," First time seen"," Last time seen"," channel"," Speed"," Privacy"," Cipher"," Authentication"," Power"," # beacons"," # IV"," LAN IP"," ID-length"," ESSID"," Key"
"00:0E:58:12:1C:5B"," 2020-12-19 14:15:05"," 2020-12-19 15:39:47","  6","  -1"," WPA"," ","   ","  -1","        0","      396","   0.  0.  0.  0","   0"," "," "
"DD:9F:FF:FF:FF:FF"," 2020-12-19 14:59:13"," 2020-12-19 15:15:56"," -1","  -1"," OPN"," ","   ","  -1","        0","        0","   0.  0.  0.  0","   0"," "," "
"59:0E:00:A0:57:3B"," 2020-12-19 14:20:56"," 2020-12-19 14:38:20"," -1","  -1"," "," ","   ","  -1","        0","        0","   0.  0.  0.  0","   1"," \xDD"," "
"F6:60:20:0C:B7:2B"," 2020-12-19 14:16:34"," 2020-12-19 14:16:50","  6","  54"," WPA2"," CCMP"," PSK"," -22","       29","        0","   0.  0.  0.  0","  17"," iPhone von Franzi"," "
"BC:1A:E4:16:D1:4F"," 2020-12-19 14:18:56"," 2020-12-19 15:12:40","  2","  -1"," "," ","   ","  -1","        0","        0","   0.  0.  0.  0","   0"," "," "
"1C:5B:78:28:CA:C3"," 2020-12-19 14:18:46"," 2020-12-19 15:33:05"," -1","  -1"," "," ","   ","  -1","        0","        0","   0.  0.  0.  0","   0"," "," "
"00:25:00:FF:94:73"," 2020-12-19 14:15:14"," 2020-12-19 15:38:53","  1","  -1"," OPN"," ","   ","  -1","        0","       68","   0.  0.  0.  0","   0"," "," "
"38:EA:A7:C8:D8:97"," 2020-12-19 14:14:56"," 2020-12-19 15:40:08","  1","  54"," OPN"," ","   "," -70","     6555","        0","   0.  0.  0.  0","  27"," HP-Print-97-Photosmart 5520"," "
"FF:FF:38:EA:A7:C8"," 2020-12-19 14:20:07"," 2020-12-19 15:39:57","  1","  -1"," OPN"," ","   "," -67","        0","       17","   0.  0.  0.  0","   0"," "," "
"00:A0:57:3B:59:0E"," 2020-12-19 14:14:56"," 2020-12-19 15:40:08","  1","  63"," WPA2"," CCMP"," PSK"," -59","     2790","     1381","   0.  0.  0.  0","   6"," LANCOM"," "
"78:28:CA:C3:F7:17"," 2020-12-19 14:14:57"," 2020-12-19 15:40:09","  6","  -1"," WPA"," ","   ","  -1","        0","    61397","   0.  0.  0.  0","   0"," "," "
"78:28:CA:C3:F6:E7"," 2020-12-19 14:14:57"," 2020-12-19 15:40:02","  6","  -1"," WPA"," ","   ","  -1","        0","     1286","   0.  0.  0.  0","   0"," "," "
